Collection_Date,Positives,7-Day Average
02/05/2022,958,1423
02/06/2022,461,1404.857143
02/07/2022,1834,1309
02/08/2022,1137,1209.285714
02/09/2022,981,1137.857143
02/10/2022,835,1064.714286
02/11/2022,817,1003.285714
02/12/2022,672,962.4285714
02/13/2022,528,972
02/14/2022,211,740.1428571
02/15/2022,597,663
02/16/2022,518,596.8571429
02/17/2022,506,549.8571429
02/18/2022,395,489.5714286
02/19/2022,312,438.1428571
02/20/2022,160,385.5714286
02/21/2022,365,407.5714286
02/22/2022,354,372.8571429
02/23/2022,317,344.1428571
02/24/2022,271,310.5714286
