https://kingcounty.gov/depts/health/covid-19/data/summary-dashboard.aspx,,
date,hospitalizations,7-day average
2021-07-21,1,5.714285714
2021-07-20,9,6.428571429
2021-07-19,6,6
2021-07-18,2,6.571428571
2021-07-17,4,7
2021-07-16,7,7.142857143
2021-07-15,11,7.428571429
2021-07-14,6,6.714285714
2021-07-13,6,6.571428571
2021-07-12,10,6.142857143
2021-07-11,5,5
2021-07-10,5,4.857142857
2021-07-09,9,4.428571429
2021-07-08,6,3.428571429
2021-07-07,5,3.142857143
2021-07-06,3,3.4
2021-07-05,2,3.4
2021-07-04,4,3.6
2021-07-03,2,3.4
2021-07-02,2,3.7
2021-07-01,4,4.1
